t,S,I,R
79.39698492462311,64.43853753867904,21.88048677084151,913.6809756904784
80.40201005025125,64.03150355822362,20.175301562429617,915.7931948793457
81.40703517587939,63.65849104809079,18.60081842506852,917.7406905268396
82.41206030150752,63.31653237659191,17.147361048415494,919.5361065749914
83.41708542713567,63.00293707489782,15.805914894768533,921.1911480303324
84.42211055276381,62.715263338909004,14.568091005748052,922.7166456553418
85.42713567839195,62.45129282224975,13.426090134532943,924.1226170432161
86.4321608040201,62.20900827019196,12.37266763011906,925.4183240996878
87.43718592964824,61.986573666053744,11.401099283824552,926.6123270501205
88.44221105527637,61.78231655029992,10.505148367796131,927.7125350819027
89.44723618090451,61.59471229282414,9.67903394592703,928.7262537612477
90.45226130653265,61.422369987480565,8.917400737770794,929.6602292747474
91.4572864321608,61.26401988187882,8.215290344821844,930.5206897732982
92.46231155778894,61.11850209394321,7.568114034463299,931.3133838715922
93.46733668341707,60.9847564688281,6.971627032618631,932.0436164985521
94.47236180904522,60.86181348765245,6.421904266277142,932.7162822460692
95.47738693467336,60.74878605991606,5.915317621242125,933.3358963188405
96.4824120603015,60.64486213565518,5.448514553160113,933.9066233111835
97.48743718592964,60.549298030279395,5.0183980803670405,934.4323038893522
98.49246231155777,60.46141238957261,4.622108095884462,934.9164795145416
99.49748743718592,60.380580734146925,4.257003898504889,935.3624153673469
100.50251256281406,60.306230508371485,3.9206479212028307,935.7731215704243
101.5075376884422,60.23783659627935,3.6107905702741925,936.1513728334452
102.51256281407035,60.174917241570895,3.3253561300076866,936.49972662842
103.51758793969849,60.11703034726229,3.062429655722406,936.820539997014
104.52261306532662,60.063770108899874,2.820244802960643,937.1159850881381
105.52763819095476,60.01476394170651,2.597172537206485,937.3880635210857
106.5326633165829,59.969669690387065,2.3917106579337055,937.6386196516779
107.53768844221105,59.928173076924615,2.2024740988009306,937.8693528242732
108.54271356783919,59.889985378122866,2.028185935305803,938.08182868657
109.54773869346732,59.854841298948806,1.8676690644442597,938.2774896366057
110.55276381909547,59.82249703421349,1.7198385042424547,938.4576644615428
111.55778894472361,59.792728494211225,1.5836942724675882,938.6235772333199
112.56281407035175,59.765329682020045,1.458314800911512,938.7763555170673
113.56783919597989,59.74011120966368,1.3428508494448832,938.9170379408903
114.57286432160802,59.71689893767105,1.2365198821359578,939.0465811801918
115.57788944723617,59.69553273136851,1.138600872967747,939.1658663956626
116.58291457286431,59.6758653189675,1.0484295089797258,939.2757051720516
117.58793969849245,59.65776124690353,0.9653937617875384,939.3768449913077
118.5929648241206,59.641095920299335,0.8889297992963977,939.4699742804031
119.59798994974874,59.6257547239635,0.8185182137091953,939.5557270623261
120.60301507537687,59.61163221547353,0.7536805410131562,939.6346872435121
121.60804020100501,59.59863138450353,0.693976049649775,939.7073925658455
122.61306532663315,59.5866629734106,0.6389987793669469,939.7743382472213
123.6180904522613,59.57564485269317,0.5883748092589572,939.8359803380466
124.62311557788944,59.56550144823313,0.5417597397930562,939.8927388119725
125.62814070351757,59.556163214414546,0.498836370117142,939.945000415467
126.63316582914572,59.54756615070401,0.4593125577112988,939.9931212915834
127.63819095477386,59.539651356959965,0.4229192445889841,940.0374293984496
128.643216080402,59.53236462503666,0.38940863855410524,940.0782267364078
129.64824120603015,59.52565606333084,0.3585525368822826,940.1157913997855
